Province,City,Area,Company,Status,DeliveryTime,DeliveryCharges
Sindh,Karachi,Main,BLUEX,Delivered,4,150
Balochistan,Quetta,Main,BLUEX,Delivered,8,150
Balochistan,Dultalha,Main,BLUEX,Delivered,9,150
Punjab,Lahore,Main,BLUEX,Delivered,6,150
Punjab,Rawalpindi,Main,BLUEX,Delivered,7,150
Sindh,Hyderabad,Main,BLUEX,Delivered,7,150
Sindh,Jamshoro,Main,BLUEX,Delivered,4,150
Balochistan,Dera Murad Jamal,Main,BLUEX,Delivered,6,150
Punjab,Sialkot,Main,BLUEX,Delivered,4,150
Punjab,Nawab Shah,Main,BLUEX,Delivered,3,150
Punjab,Attock,Main,BLUEX,Delivered,5,150
Sindh,Makli Thatta,Village,BLUEX,Delivered,4,150
Balochistan,Quetta,Main,BLUEX,Delivered,5,150
Punjab,Hafizabad,Main,BLUEX,Delivered,2,150
Punjab,Depalpur,Main,BLUEX,Delivered,3,150
Punjab,Hafizabad,Main,BLUEX,Delivered,2,150
Capital,Islamabad,Main,TRAX,Delivered,5,150
Punjab,Arifwala,Tehsil,TRAX,Delivered,7,150
Capital,Islamabad,Main,TRAX,Delivered,3,150
Punjab,Ahmed Pur East,Main,TRAX,Delivered,5,150
Sindh,Karachi,Main,TRAX,Delivered,2,150
Punjab,Bhalwal .,Main,TRAX,Delivered,3,150
Punjab,Samundri,Main,TRAX,Delivered,6,150
Punjab,Tobah Tek Singh,Main,TRAX,Delivered,9,150
Punjab,Dina,Main,TRAX,Delivered,3,150
Sindh,Karachi,Main,TRAX,Delivered,2,150
Punjab,Fasalabad,Main,TRAX,Delivered,5,150
KPK,Peshawar,Main,TRAX,Delivered,6,150
Sindh,Karachi,Main,TRAX,Delivered,6,150
Punjab,Sialkot,Main,TRAX,Delivered,1,150
Sindh,Karachi,Main,TRAX,Delivered,5,150
Capital,Islamabad,Main,TRAX,Delivered,5,150
Sindh,Sanghar,Main,TRAX,Delivered,8,150
Punjab,Lahore,Main,TRAX,Delivered,2,150
Punjab,Multan,Main,TRAX,Delivered,4,150
Punjab,Ali Pur,Tehsil,TRAX,Delivered,6,150
Punjab,Rawalpindi,Main,TRAX,Delivered,1,150
Punjab,Gujranwala,Main,TRAX,Delivered,3,150
Punjab,Rawalpindi,Main,TRAX,Delivered,3,150
KPK,Peshawar,Main,TRAX,Delivered,5,150
KPK,Shabqadar Charsada,Village,TRAX,Delivered,3,150
Sindh,Krachi,Main,TRAX,Delivered,4,150
Punjab,Mureedkay,Main,TRAX,Delivered,5,150
Punjab,MULTAN,Main,TRAX,Delivered,4,150
Punjab,Multan,Main,TRAX,Delivered,4,150
Sindh,Karachi,Main,TRAX,Delivered,4,150
Punjab,Daska,Tehsil,TRAX,Delivered,5,150
Balochistan,Quetta,Main,TRAX,Delivered,7,150
Sindh,Karachi,Main,TRAX,Delivered,4,150
Sindh,Karachi,Main,TRAX,Delivered,4,150
Punjab,Lahore Cantt,Main,TRAX,Delivered,3,150
Punjab,Jaranwala,Main,TRAX,Delivered,2,150
AJK,Muzaffarabad Azad Kashmir,Main,TRAX,Delivered,4,150
Punjab,Gujrat,Village,TRAX,Delivered,9,150
Sindh,Karachi,Main,TRAX,Delivered,5,150
Capital,Islamabad,Main,TRAX,Delivered,2,150
Sindh,Karachi,Main,TRAX,Delivered,4,150
AJK,Muzafarabad,Main,TRAX,Delivered,3,150
Sindh,Karachi,Main,TRAX,Delivered,2,150
Sindh,Rajanpur,Main,TRAX,Delivered,4,150
Sindh,Hyderabad,Main,TRAX,Delivered,7,150
Sindh,Ghotki,Main,TRAX,Delivered,8,150
Punjab,Attock,Main,TRAX,Delivered,3,150
Punjab,Lahore,Main,TRAX,Delivered,7,150
Punjab,Sadra,Main,TRAX,Delivered,2,150
Capital,Islamabad,Main,TRAX,Delivered,3,150
Punjab,Multan,Main,TRAX,Delivered,5,150
Punjab,Multan,Main,TRAX,Delivered,5,150
Punjab,Rawalpindi,Main,TRAX,Delivered,5,150
Punjab,Rawalpindi Punjab Pakistan,Main,TRAX,Delivered,3,150
Punjab,Gujranwala,Main,TRAX,Delivered,3,150
Sindh,Karachi,Main,TRAX,Delivered,7,150
Sindh,Karachi,Main,TRAX,Delivered,2,150
Punjab,Jhang,Main,TRAX,Delivered,4,150
Punjab,Wah Cantt,Main,TRAX,Delivered,5,150
Punjab,Sialkot,Main,TRAX,Delivered,2,150
Punjab,Okara,Main,TRAX,Delivered,5,150
Punjab,Sargodha,Main,TRAX,Delivered,4,150
KPK,Mansehra,Main,TRAX,Delivered,3,150
Punjab,Kasur,Main,TRAX,Delivered,4,150
Punjab,Tandliwala,Main,TRAX,Delivered,4,150
Punjab,Sambrial Sialkot,Tehsil,TRAX,Delivered,3,150
KPK,Rustam,Tehsil,TRAX,Delivered,4,150
Punjab,Faisalabad,Main,TRAX,Delivered,3,150
KPK,Peshawar,Main,TRAX,Delivered,3,150
Sindh,Hyderabad,Main,TRAX,Delivered,4,150
Punjab,Hasilpur,Main,TRAX,Delivered,4,150
Sindh,Karachi,Main,TRAX,Delivered,3,150
Punjab,Lahore,Main,TRAX,Delivered,1,150
Punjab,Lahore,Main,TRAX,Delivered,3,150
Punjab,Lahore,Main,TRAX,Delivered,3,150
Sindh,Karachi,Main,BLUEX,Returned Recieved,14,180
Sindh,Karachi,Main,BLUEX,Returned Recieved,13,180
KPK,Mardan,Main,BLUEX,Returned Recieved,10,180
Punjab,Sheikhupura,Main,BLUEX,Returned Recieved,14,180
Punjab,Hafizabad,Village,BLUEX,Returned Recieved,10,180
Punjab,Basirpur,Village,BLUEX,Returned Recieved,15,180
Punjab,Narang Mandi,Main,BLUEX,Returned Recieved,15,180
Capital,Islamabad,Main,BLUEX,Returned Recieved,6,180
Punjab,Lahore,Main,BLUEX,Returned Recieved,16,180
Balochistan,Quetta,Main,BLUEX,Returned Recieved,15,180
Punjab,Kot Radha Kidhen,Main,BLUEX,Returned Recieved,9,180
Punjab,Sargodha,Main,BLUEX,Returned Recieved,6,180
Punjab,Gujrat,Main,BLUEX,Returned Recieved,5,180
Punjab,Zahir Peer,Main,BLUEX,Returned Recieved,9,180
KPK,Dargai,Tehsil,BLUEX,Returned Recieved,8,180
Punjab,Talagang,Tehsil,BLUEX,Returned Recieved,10,180
Punjab,Toba Tek Singh,Main,BLUEX,Returned Recieved,15,180
KPK,Sawabi,Main,BLUEX,Returned Recieved,15,180
Punjab,Satrah Sandhuan,Tehsil,BLUEX,Returned Recieved,14,180
KPK,Buneir,Main,BLUEX,Returned Recieved,8,180
Punjab,Gujranwala,Main,BLUEX,Returned Recieved,14,180
